src_ip,dst_ip,protocol,packet_size,time_diff
34.204.148.88,10.58.86.157,6,54,0
34.204.148.88,10.58.86.157,6,233,0.0015075206756591797
34.204.148.88,10.58.86.157,6,125,0.001027822494506836
34.204.148.88,10.58.86.157,6,54,0.0009942054748535156
10.58.86.157,34.204.148.88,6,54,0.0
10.58.86.157,34.204.148.88,6,85,0.0009894371032714844
34.204.148.88,10.58.86.157,6,54,0.010271310806274414
34.204.148.88,10.58.86.157,6,54,0.0010476112365722656
34.204.148.88,10.58.86.157,6,1334,0.0010769367218017578
34.204.148.88,10.58.86.157,6,1334,0.0010120868682861328
34.204.148.88,10.58.86.157,6,1334,0.0
34.204.148.88,10.58.86.157,6,582,0.0014317035675048828
10.58.86.157,34.204.148.88,6,54,0.0010137557983398438
10.58.86.157,34.204.148.88,6,118,0.0
34.204.148.88,10.58.86.157,6,54,0.029560327529907227
172.64.155.209,10.58.86.157,17,746,0.07938075065612793
10.58.86.157,172.64.155.209,17,89,0.020415067672729492
34.204.148.88,10.58.86.157,6,54,0.08545231819152832
34.204.148.88,10.58.86.157,6,54,0.02334141731262207
34.204.148.88,10.58.86.157,6,233,0.0012519359588623047
34.204.148.88,10.58.86.157,6,116,0.0010280609130859375
10.58.86.157,34.204.148.88,6,54,0.001004934310913086
34.204.148.88,10.58.86.157,6,419,0.01959061622619629
10.58.86.157,34.204.148.88,6,54,0.05350542068481445
142.250.77.138,10.58.86.157,17,1285,0.20070862770080566
142.250.77.138,10.58.86.157,17,667,0.0020492076873779297
10.58.86.157,142.250.77.138,17,73,0.0010318756103515625
10.58.86.157,8.8.8.8,1,74,0.20443415641784668
8.8.8.8,10.58.86.157,1,74,0.05029749870300293
10.58.86.157,49.44.136.97,17,71,0.0287320613861084
49.44.136.97,10.58.86.157,17,66,0.052124738693237305
10.58.86.157,8.8.8.8,1,74,0.8724300861358643
8.8.8.8,10.58.86.157,1,74,0.06704139709472656
10.58.86.157,18.161.216.123,6,55,0.6055545806884766
18.161.216.123,10.58.86.157,6,66,0.053566694259643555
10.58.86.157,8.8.8.8,1,74,0.2913475036621094
8.8.8.8,10.58.86.157,1,74,0.05822873115539551
8.8.8.8,10.58.86.157,1,74,0.001013040542602539
104.18.39.21,10.58.86.157,6,78,0.07041811943054199
10.58.86.157,104.18.39.21,6,82,0.0010004043579101562
104.18.39.21,10.58.86.157,6,54,0.028595447540283203
100.25.205.24,10.58.86.157,6,85,0.04229259490966797
100.25.205.24,10.58.86.157,6,54,0.0
10.58.86.157,100.25.205.24,6,54,0.0012853145599365234
10.58.86.157,34.202.174.168,6,88,0.030259132385253906
34.202.174.168,10.58.86.157,6,54,0.3730888366699219
34.202.174.168,10.58.86.157,6,84,0.0010156631469726562
104.18.39.21,10.58.86.157,6,78,0.0
10.58.86.157,104.18.39.21,6,82,0.0014383792877197266
104.18.39.21,10.58.86.157,6,54,0.03252148628234863
10.58.86.157,34.202.174.168,6,54,0.013571977615356445
10.58.86.157,8.8.8.8,1,74,0.3607039451599121
8.8.8.8,10.58.86.157,1,74,0.06437826156616211
10.58.86.157,8.8.8.8,1,74,0.9488294124603271
8.8.8.8,10.58.86.157,1,74,0.05293750762939453
8.8.8.8,10.58.86.157,1,74,0.004571676254272461
10.58.86.157,8.8.8.8,1,74,0.9574704170227051
8.8.8.8,10.58.86.157,1,74,0.05738496780395508
10.58.86.157,8.8.8.8,1,74,0.9552927017211914
8.8.8.8,10.58.86.157,1,74,0.06579351425170898
10.58.86.157,49.44.136.97,17,71,0.3891119956970215
49.44.136.97,10.58.86.157,17,66,0.08970403671264648
10.58.86.157,8.8.8.8,1,74,0.4738144874572754
104.18.39.21,10.58.86.157,6,78,0.0005648136138916016
10.58.86.157,104.18.39.21,6,82,0.0011134147644042969
8.8.8.8,10.58.86.157,1,74,0.04633474349975586
104.18.39.21,10.58.86.157,6,54,0.005498409271240234
8.8.8.8,10.58.86.157,1,74,0.016225099563598633
10.58.86.157,172.253.118.188,6,55,0.28876471519470215
10.58.86.157,172.253.118.188,6,55,0.0012388229370117188
172.253.118.188,10.58.86.157,6,66,0.08139967918395996
172.253.118.188,10.58.86.157,6,66,0.0010423660278320312
10.58.86.157,8.8.8.8,1,74,0.571204662322998
8.8.8.8,10.58.86.157,1,74,0.06484389305114746
10.58.86.157,10.58.86.75,17,90,0.09472846984863281
10.58.86.157,10.58.86.75,17,90,0.04082441329956055
10.58.86.75,10.58.86.157,17,218,0.012717723846435547
10.58.86.75,10.58.86.157,17,218,0.0035402774810791016
10.58.86.157,52.206.21.180,6,66,0.0010182857513427734
52.206.21.180,10.58.86.157,6,66,0.30193567276000977
10.58.86.157,52.206.21.180,6,54,0.0009963512420654297
10.58.86.157,52.206.21.180,6,240,0.024538278579711914
52.206.21.180,10.58.86.157,6,54,0.28986144065856934
52.206.21.180,10.58.86.157,6,1334,0.0010135173797607422
52.206.21.180,10.58.86.157,6,1334,0.0012710094451904297
10.58.86.157,52.206.21.180,6,54,0.0010135173797607422
52.206.21.180,10.58.86.157,6,1334,0.0
52.206.21.180,10.58.86.157,6,454,0.0014777183532714844
10.58.86.157,52.206.21.180,6,54,0.0
10.58.86.157,52.206.21.180,6,147,0.0010073184967041016
10.58.86.157,8.8.8.8,1,74,0.17272257804870605
8.8.8.8,10.58.86.157,1,74,0.06290721893310547
52.206.21.180,10.58.86.157,6,54,0.017679691314697266
52.206.21.180,10.58.86.157,6,258,0.002151012420654297
10.58.86.157,52.206.21.180,6,1354,0.015546083450317383
10.58.86.157,52.206.21.180,6,1354,0.0010023117065429688
10.58.86.157,52.206.21.180,6,147,0.0009949207305908203
52.206.21.180,10.58.86.157,6,54,0.43021297454833984
10.58.86.157,8.8.8.8,1,74,0.4850594997406006
8.8.8.8,10.58.86.157,1,74,0.06537055969238281
10.58.86.157,52.206.21.180,6,147,0.13568687438964844
52.206.21.180,10.58.86.157,6,54,0.4416625499725342
52.206.21.180,10.58.86.157,6,608,0.0010128021240234375
10.58.86.157,52.206.21.180,6,54,0.04245781898498535
10.58.86.157,8.8.8.8,1,74,0.3351163864135742
8.8.8.8,10.58.86.157,1,74,0.06328725814819336
8.8.8.8,10.58.86.157,1,74,0.0030007362365722656
10.58.86.157,142.251.152.119,17,71,0.7518563270568848
49.44.136.97,10.58.86.157,17,73,0.027303457260131836
142.251.152.119,10.58.86.157,17,67,0.01747608184814453
10.58.86.157,49.44.136.97,17,76,0.018207311630249023
49.44.136.97,10.58.86.157,17,73,0.0031092166900634766
10.58.86.157,49.44.136.97,17,77,0.0009963512420654297
10.58.86.157,8.8.8.8,1,74,0.12078022956848145
10.58.86.157,49.44.136.97,17,71,0.04628443717956543
8.8.8.8,10.58.86.157,1,74,0.05393218994140625
8.8.8.8,10.58.86.157,1,74,0.0014910697937011719
49.44.136.97,10.58.86.157,17,66,0.020840883255004883
49.44.136.97,10.58.86.157,17,73,0.05207180976867676
10.58.86.157,49.44.136.97,17,74,0.027190685272216797
184.84.232.80,10.58.86.157,17,73,0.016190290451049805
10.58.86.157,184.84.232.80,17,74,0.03092479705810547
49.44.136.97,10.58.86.157,17,66,0.03782367706298828
10.58.86.157,49.44.136.97,17,74,0.04149150848388672
10.58.86.157,49.44.136.97,17,71,0.0009958744049072266
49.44.136.97,10.58.86.157,17,66,0.06432914733886719
