src_ip,dst_ip,protocol,packet_size,time_diff,label
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,0,0
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.047813177,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,0.465589046,0
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.075598717,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::3e2:2890,6,75,0.752726555,0
64:ff9b::3e2:2890,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.269907951,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::12a1:d87f,6,75,1.054439783,0
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,98,0.056022406,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,6,102,0.00161624,0
64:ff9b::12a1:d87f,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,86,0.008106947,0
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.04799962,0
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,105,3.03348732,0
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,98,0.001033306,0
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.000984192,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,74,0,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,6,102,0.001054764,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,105,0.00102663,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::dd9:4092,6,74,0,0
2606:4700:9c61:d8b7:9ac6:3fd:ccf5:ac50,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.039623737,0
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.204716444,0
64:ff9b::dd9:4092,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.008475542,0
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,105,0.700999022,0
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.001008511,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::2ccd:b89b,6,74,0,0
64:ff9b::2ccd:b89b,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.243537188,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::2ccd:b89b,6,74,0.000983238,0
2409:408c:ad16:f102:826:7dcb:ffb6:d241,64:ff9b::34cd:356c,6,75,3.637140036,0
64:ff9b::34cd:356c,2409:408c:ad16:f102:826:7dcb:ffb6:d241,6,74,0.293217182,0
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2603:1040:a06:6::2,6,116,0,1
2603:1040:a06:6::2,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,247,0.062251806,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2603:1040:a06:6::2,6,74,0.045393467,1
10.58.86.157,8.8.8.8,1,74,1.074057817,1
8.8.8.8,10.58.86.157,1,74,0.050168514,1
64:ff9b::34ca:44d2,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,105,0.235007524,1
64:ff9b::34ca:44d2,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,6,74,0,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,64:ff9b::34ca:44d2,6,74,0.00137043,1
10.58.86.157,8.8.8.8,1,74,0.72503376,1
8.8.8.8,10.58.86.157,1,74,0.04396677,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,1292,0.17722249,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,1292,0.001028538,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,144,0.001114607,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,1288,0,1
2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,2001:4860:482a:7700::,17,1202,0.00146246,1
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,102,0.048510313,1
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,1292,0,1
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,1292,0.020748854,1
2001:4860:482a:7700::,2409:408c:ad16:f102:cd92:c0ac:e414:c2aa,17,342,0.001008749,1
